label,text
spam,"🚀🚀🚀 $MOONTOKEN just launched!! 1000x guaranteed!! Buy now before it moons!!!"
spam,"Elon Musk is giving away 5000 BTC! Send 0.1 ETH to participate! bit.ly/elonbtc"
spam,"URGENT: Your Binance account will be suspended. Verify now at binance-secure.xyz"
spam,"New gem alert 💎 $SAFESHIB launching in 1 hour. Presale live. Don't miss this 100x"
spam,"Claim your free 500 USDT airdrop now! Connect wallet at claim-crypto.io"
spam,"I am CZ from Binance. DM me for exclusive investment opportunity"
spam,"Join my VIP crypto signals group. 95% win rate. DM for access. Made $50k this week"
spam,"Lost crypto? We can recover your stolen Bitcoin. Contact us now at recovercrypto.net"
spam,"Thanks for sharing! Check my profile for 10x crypto gems 🔥🔥"
spam,"BREAKING: $SCAMCOIN partners with Microsoft and Tesla! Price pumping 500%!"
spam,"🔥 FREE BITCOIN GIVEAWAY 🔥 Send 0.05 BTC and receive 0.5 BTC back! Limited time! bit.ly/freebtc"
spam,"⚠️ LAST CHANCE: $ROCKETINU presale ends in 30 minutes! Already 50x since launch! Don't miss out!"
spam,"I made $25,000 in just 3 days with this crypto bot! DM me for the link 💰💰"
spam,"ALERT: Your MetaMask wallet has been compromised! Secure your funds at metamask-verify.com immediately"
spam,"$ELONDOGE is the next Dogecoin! Endorsed by Elon Musk himself! 🐕🚀 Buy before it's too late!"
spam,"Get 100 FREE $SOL tokens! Just connect your wallet at solana-airdrop.xyz and claim now!"
spam,"My crypto investment group turned $500 into $50,000 in one week. DM to join. Spots limited!"
spam,"URGENT SECURITY ALERT: Unusual activity on your Coinbase account. Verify at coinbase-login.net"
spam,"🎁 MASSIVE AIRDROP 🎁 500,000 $SHIB tokens for the first 1000 wallets! Claim: shib-drop.io"
spam,"I'm giving away 1 BTC to everyone who retweets this! Must follow and send 0.01 ETH to verify"
spam,"$SAFEMARS is going to 100x this week! Liquidity locked. Team doxxed. Buy now on PancakeSwap!"
spam,"⚡ Flash loan exploit found! Make risk-free profits on Uniswap! Tutorial at defi-exploit.xyz"
spam,"Elon just tweeted about $BABYDOGE! Price is about to EXPLODE 🚀🚀 Get in NOW!"
spam,"Your Trust Wallet seed phrase needs verification. Enter it at trustwallet-secure.com to continue"
spam,"💎 $GEMTOKEN stealth launch RIGHT NOW! Only $5k market cap! Easy 1000x! Contract: 0x9a8...f3b"
spam,"FREE crypto mining app! Mine 1 BTC per day from your phone! Download at cryptominer-pro.com"
spam,"I am Vitalik Buterin giving back to the community. Send 1 ETH receive 10 ETH. bit.ly/vitalikgift"
spam,"$RUGPULL token is 100% safe! Audited by CertiK! Liquidity locked forever! Buy now!! 🔒"
spam,"🚨 PUMP ALERT 🚨 $PUMPTOKEN launching in 5 minutes! Telegram: t.me/pumpgroup FREE signals!"
spam,"Your Kraken account login from new device detected. Confirm at kraken-verify.xyz or account locked"
spam,"We turned $1000 into $1 MILLION trading crypto! Join our Discord for FREE signals! discord.gg/scam"
spam,"$MOONSHIB INU just launched! Burn mechanism + reflections! Next SHIBA! 🐕 1000x potential!"
spam,"BREAKING: Amazon to accept $AMAZONCOIN as payment! Buy before the announcement goes public!"
spam,"Congratulations! You won 2.5 BTC in our Twitter giveaway! Claim at btc-winner.com"
spam,"📊 My trading bot has 99.7% accuracy! Subscribe for only 0.05 ETH/month! DM me NOW"
spam,"AIRDROP: Get 1000 FREE $MATIC tokens! Limited supply! Claim at polygon-airdrop.io"
spam,"I'm a former Goldman Sachs trader. I can 10x your portfolio. Send me 1 BTC to start"
spam,"$DOGEMOON is PUMPING! Up 500% in 1 hour! Next stop: $1! Buy on Uniswap NOW! 🌕"
spam,"WARNING: Your Phantom wallet has a critical vulnerability. Update at phantom-update.xyz"
spam,"Crypto recovery expert here 🔐 Lost your seed phrase? I can help recover your funds. DM me"
spam,"🎉 $LUCKYCOIN presale is LIVE! 80% bonus tokens for early investors! Only 2 hours left!"
spam,"Jeff Bezos investing $2B in $AMAZONDOGE! This is going to the MOON! Buy now!! 🚀🚀"
spam,"PASSIVE INCOME: Stake your ETH with us and earn 500% APY! Visit ethstake-pro.io"
spam,"$CATCOIN listed on Binance tomorrow! Insider info confirmed! Buy before it pumps 100x!"
spam,"Send me 0.5 ETH and I'll send you 5 ETH back! Verified by Twitter ✓ This is real!"
spam,"Your OpenSea account needs immediate verification! Click: opensea-verify.net 🔒"
spam,"💰 Made $75,000 last month from crypto signals! Join my Telegram for FREE: t.me/cryptoscam"
spam,"$APECOIN2 is the official sequel to ApeCoin! Bored Ape team behind it! 500x easy! Buy now!"
spam,"GIVEAWAY: RT + Follow for chance to win 10 ETH! Must verify wallet at eth-giveaway.xyz"
spam,"I hacked the Ethereum network and found unlimited ETH exploit. DM for details 🔓"
spam,"$SUPERSHIBMOON presale filling fast! 2000x potential! Don't sleep on this gem! 💎🙌"
spam,"Crypto tax loophole discovered! Save 100% on taxes! Guide at crypto-taxfree.com"
spam,"🔥 $FIRETOKEN burn event in 1 hour! 50% supply burn = guaranteed price pump! Buy NOW!"
spam,"Mark Cuban just invested $500M in $CUBANCOIN! Going to $100 by next week! 📈"
spam,"FREE NFT MINT! Worth 5 ETH each! Connect wallet at free-nft-mint.xyz to claim"
spam,"Lost access to your crypto exchange? Our expert team can recover any account. recovercrypto@mail.com"
spam,"$SAFEELONDOGEMOON launching NOW! Triple reflections! Anti-whale! SAFU! LFG! 🚀🌕"
spam,"INSIDER ALERT: Ripple winning SEC case tomorrow! $XRP going to $10! Buy before news drops!"
spam,"Double your Bitcoin in 24 hours! Guaranteed! Send to bc1q...xyz and receive 2x back!"
spam,"Tim Cook announces Apple $APPLECOIN integration! Price target: $500! Buy immediately!"
spam,"⚠️ Ledger security breach detected! Transfer funds NOW using ledger-emergency.com"
spam,"$FLOKIMOON 100x from here! Same dev as SHIB! Elon tweeted about it! Get in early! 🐕🌕"
spam,"Airdrop alert! 🪂 50,000 $AVAX being distributed! Claim at avax-free.io before it runs out!"
spam,"I can guarantee 20% daily returns on your crypto investment. Minimum deposit 0.5 BTC. DM me."
spam,"PUMP GROUP 📈 We pump coins 500-1000%! Join our Telegram NOW! Only 50 spots left! t.me/pumpanddump"
spam,"Your Uniswap approval is pending! Complete verification at uniswap-approval.xyz to avoid losing funds"
spam,"$BABYELON launching in 10 minutes! Early investors getting in at $0.000001! Next Dogecoin! 🚀"
spam,"We recovered $2M in stolen crypto last month! DM us your case details for FREE consultation"
spam,"MASSIVE WHALE BUY on $SCAMTOKEN! 🐋 500 BTC just entered! Price about to EXPLODE!"
spam,"Free crypto course worth $5000! Just send 0.1 ETH for enrollment verification! bit.ly/freecourse"
spam,"$METAVERSE Token official META partnership announced! Zuckerberg backing it! Buy before 1000x!"
spam,"🎯 Signal alert: Buy $PUMPCOIN at $0.001, target $1.00. That's a 100,000% gain! Join group NOW"
spam,"Your Crypto.com card has been frozen. Unfreeze at cryptodotcom-verify.net immediately"
spam,"$SHIBARMY 2.0 launched! Same team as original SHIB! Already trending! Don't miss the next 1000x!"
spam,"Secret Bitcoin mining technique! Mine 0.5 BTC daily from your laptop! bit.ly/secretmine"
spam,"I'm Bill Gates and I'm giving back to the crypto community. Send BTC to receive 5x back!"
spam,"$DIAMONDHAND token is UNRUGGABLE! LP burned! Contract renounced! 100x guaranteed! 💎🙌🚀"
spam,"Flash sale: Buy our premium crypto bot for just 0.2 ETH (normally 2 ETH)! Only 3 hours left!"
spam,"WARNING ⚠️ Final notice: Your Gemini account will be permanently closed. Verify: gemini-secure.xyz"
spam,"$TESLACOIN endorsed by Elon Musk on Joe Rogan! Going parabolic! Buy before mainstream finds out!"
spam,"Claim your Cardano staking rewards! 5000 ADA waiting for you at cardano-rewards.io"
spam,"🤑 Copy my trades and make $10k/day! Zero risk! Join my channel: t.me/copytrades"
spam,"$SAFEGALAXY stealth launched! CMC listing in 2 hours! Only $10k mcap! This is your 10000x!"
spam,"ATTENTION: Binance Smart Chain airdrop! Connect wallet at bsc-airdrop.xyz for free BNB!"
spam,"Send me your seed phrase and I'll help you recover your lost tokens. Trust me I'm verified ✅"
spam,"$DOGEFATHER token backed by Snoop Dogg! NFT collection dropping too! Easy 500x! Buy NOW!"
spam,"Crypto trading masterclass: Turn $100 into $100,000 in 30 days! Enroll at crypto-guru.xyz"
spam,"🚀 $SHIBAMOON presale LIVE! Hard cap almost reached! BUY BUY BUY before it sells out!"
spam,"LEAKED: Coinbase listing for $RANDOMTOKEN confirmed for next Monday! Price will 50x minimum!"
spam,"I can double your NFTs! Send your Bored Ape to my wallet and receive 2 back. Verified process!"
spam,"$ELONINU the OFFICIAL Elon Musk token! Tweeted by Elon himself! 10000x from here! LFG!"
spam,"Free Bitcoin faucet giving away 0.1 BTC every hour! Claim at bitcoinfaucet-free.com"
spam,"Your DeFi positions are at risk! Approve emergency migration at defi-migrate.xyz NOW!"
spam,"$PONZICOIN revolutionizing DeFi with 1000% APY guaranteed forever! Audit passed! Buy now!"
spam,"EXCLUSIVE: Michael Saylor secret Bitcoin strategy revealed! Guaranteed profits! DM for access"
spam,"Win a Lamborghini + 5 BTC! Just retweet and send 0.05 ETH to enter! bit.ly/winlambo"
spam,"$UNICORNTOKEN 🦄 fair launch in 30 mins! Anti-bot! Anti-whale! Based dev! 1000x potential!"
spam,"Recover your hacked crypto wallet in 24 hours! 100% success rate! Contact: crypto-recovery@proton.me"
spam,"WARNING: PayPal crypto wallets being drained! Secure yours at paypal-crypto-secure.com"
spam,"$MOONCAT 🐱🌕 just launched! CoinGecko listing confirmed! 500x before end of week!"
spam,"My AI trading bot made me $500k this year. Yours for only 1 ETH. DM to purchase!"
spam,"AIRDROP 🪂 10,000 $DOT tokens FREE! Connect Polkadot wallet at dot-airdrop.io to claim"
spam,"$SAFESUN ☀️ deflationary token with 10% burn! Community driven! Rug-proof! Easy 100x play!"
spam,"BITCOIN FLASH CRASH COMING! Sell everything NOW and rebuy at $10k! Trust my analysis! 📉"
spam,"Get FREE crypto every day with our mining pool! No hardware needed! Join at cloudmine-pro.com"
spam,"$WHALECOIN 🐋 whale bought 1000 BNB worth! Chart looking like SHIB before the pump! LFG!"
spam,"Your Atomic Wallet private keys may be exposed. Verify at atomic-secure.xyz urgently!"
spam,"Join the #1 crypto pump channel! We've pumped 50 coins this month! t.me/pumpsignals 📈🚀"
spam,"$CATGIRL token partnering with OnlyFans! NFT collection minting now! 200x easy! Buy on PCS!"
spam,"I accidentally sent 10 BTC to the wrong address. If you received it please DM me. Will reward 1 BTC."
spam,"DOGE to $100 confirmed by insider sources at Tesla! Buy $DOGE now before it's too late!!"
spam,"📢 Last chance NFT presale! Mint price 0.5 ETH, floor price will be 5 ETH minimum! nft-presale.io"
spam,"$BABYSAFEMOON launched 5 min ago! Already 10x! Trending on DexTools! Next stop 1000x! 🚀🌕"
spam,"SBF actually hid $10B in $FTXREVIVAL token! Buy now before the secret gets out!! bit.ly/ftx2"
spam,"🔓 Unlock unlimited Binance trading limits! Verify your identity at binance-unlimited.xyz"
spam,"$PEPE2POINT0 the REAL sequel to PEPE! Dev is same team! Already 5x! Going to 1000x! 🐸🚀"
spam,"FREE MONEY 💸 Get $500 in Bitcoin just for signing up at instant-btc.com! No catch!"
spam,"$GAMEDOGE play-to-earn gaming token! Backed by EA and Ubisoft! Presale LIVE! 500x guaranteed!"
spam,"I'm a blockchain developer and I found a smart contract exploit. Pay me 2 ETH and I'll share it"
spam,"$KINGSHIB the KING of meme tokens! Celebrity endorsements coming! Buy before announcement! 👑"
spam,"⚡ URGENT: Ethereum gas fees refund available! Claim at eth-gasrefund.io before deadline!"
spam,"$METADOGE virtual reality token! Facebook partnership CONFIRMED! 1000x by end of month! 🥽🐕"
spam,"Wire me 1 BTC and I'll return 3 BTC in 24h. I do this as charity. God bless. wallet: bc1q...abc"
spam,"$SAFEPIZZA 🍕 DELIVERING gains to holders! 8% redistribution! Audit by SolidProof! Moon soon!"
spam,"BREAKING NEWS: Secret government crypto that will replace the dollar! $FEDCOIN buy NOW!"
spam,"Earn 50% monthly staking rewards! Simply deposit ETH at stakerewards-pro.com!"
spam,"$ALIENINU 👽 just landed on earth and PancakeSwap! Alien technology = alien gains! 5000x! LFG!"
spam,"Watch me turn $100 into $50,000 LIVE on stream! Follow my trades at elite-crypto-signals.com"
spam,"Congratulations! You've been selected for our exclusive $10,000 BTC giveaway! Claim: btcprize.io"
spam,"$DOGEMUSK official partnership with SpaceX! Coin going to Mars literally and figuratively! 🚀"
spam,"Flash loan arbitrage bot making 10 ETH per day! Download FREE at flashloan-bot.xyz"
spam,"SCAM ALERT: Everyone is getting scammed except those who buy $ANTISCAM token! Ironic! 10x!"
spam,"Reply BITCOIN to this tweet and receive 0.01 BTC in your wallet instantly! Powered by Lightning!"
spam,"$APEMOON approved by BAYC team! Bored Ape holders getting 10x airdrop! Buy now before snapshot!"
spam,"Private key generator: Generate Bitcoin private keys with balance! Tool at btc-keygen.xyz 🔑"
spam,"$SHIBKING crowned the new king of crypto by CoinMarketCap! Source: trust me bro! Buy NOW! 👑🐕"
spam,"I'm from the future. $FUTURETOKEN will be worth $50,000 each. Buy at $0.01 now. NFA. DYOR. 🔮"
spam,"250% APY on stablecoins! Better than any bank! Deposit at stablestake-defi.io! Zero risk!"
spam,"$RUGFREE token is IMPOSSIBLE to rug! Smart contract is self-auditing! Buy with confidence! 100x! 🛡️"
spam,"LEAKED Elon Musk DM confirming $TWITTERCOIN launch! Screenshot proof in my Telegram! t.me/leak"
spam,"Send 0.5 BNB to this address and receive CryptoKitties NFTs worth 10 BNB! Limited offer! 🐱"
spam,"$GOLDENDOGE 🐕✨ redistribution token! 15% to holders! Diamond hands only! 2000x potential!"
spam,"You have unclaimed crypto rewards from 2021! Recover them at crypto-unclaimed.com before they expire!"
spam,"My grandmother invested in $GRANDMACOIN and made $1M. True story! Buy now! She says it's 100x!"
spam,"🆘 Emergency: All Trezor wallets compromised! Transfer funds using trezor-emergency-update.com"
spam,"$BABYPEPE 🐸 the baby version of PEPE! Cuter and more profitable! 10000x potential! LFG!"
spam,"Crypto arbitrage: Buy BTC on Exchange A, sell on Exchange B, profit 30%! Guide at arb-crypto.xyz"
spam,"$TITANIUMHAND 💪 the strongest holder community! 0% sell tax! 20% buy tax goes to marketing! Moon!"
spam,"FREE $1000 in crypto for new users! No deposit required! Sign up at freecoins-exchange.com"
ham,"Bitcoin is testing the $45k resistance level again. Interesting price action today"
ham,"Ethereum 2.0 staking rewards have been really consistent this month around 4-5%"
ham,"Just set up my first Ledger hardware wallet. The security feels great for long term holding"
ham,"SEC just announced new regulatory framework for crypto exchanges. This could change a lot"
ham,"The RSI on BTC daily is showing oversold conditions. Could see a bounce from here"
ham,"Uniswap v3 concentrated liquidity is so much more capital efficient than v2"
ham,"Really impressed by the art in the latest generative NFT collection on Art Blocks"
